0         0    1.0000
         0    0.1000    1.0998
         0    0.2000    1.1987
         0    0.3000    1.2955
         0    0.4000    1.3894
         0    0.5000    1.4794
         0    0.6000    1.5646
         0    0.7000    1.6442
         0    0.8000    1.7174
         0    0.9000    1.7833
         0    1.0000    1.8415
         0    1.1000    1.8912
         0    1.2000    1.9320
         0    1.3000    1.9636
         0    1.4000    1.9854
         0    1.5000    1.9975
         0    1.6000    1.9996
         0    1.7000    1.9917
         0    1.8000    1.9738
         0    1.9000    1.9463
         0    2.0000    1.9093
         0    2.1000    1.8632
         0    2.2000    1.8085
         0    2.3000    1.7457
         0    2.4000    1.6755
         0    2.5000    1.5985
         0    2.6000    1.5155
         0    2.7000    1.4274
         0    2.8000    1.3350
         0    2.9000    1.2392
         0    3.0000    1.1411
         0    3.1000    1.0416
         0    3.2000    0.9416
         0    3.3000    0.8423
         0    3.4000    0.7445
         0    3.5000    0.6492
         0    3.6000    0.5575
         0    3.7000    0.4702
         0    3.8000    0.3881
         0    3.9000    0.3122
         0    4.0000    0.2432
         0    4.1000    0.1817
         0    4.2000    0.1284
         0    4.3000    0.0838
         0    4.4000    0.0484
         0    4.5000    0.0225
         0    4.6000    0.0063
         0    4.7000    0.0001
         0    4.8000    0.0038
         0    4.9000    0.0175
         0    5.0000    0.0411
    0.1000         0    0.9950
    0.1000    0.1000    1.0948
    0.1000    0.2000    1.1937
    0.1000    0.3000    1.2905
    0.1000    0.4000    1.3844
    0.1000    0.5000    1.4744
    0.1000    0.6000    1.5596
    0.1000    0.7000    1.6392
    0.1000    0.8000    1.7124
    0.1000    0.9000    1.7783
    0.1000    1.0000    1.8365
    0.1000    1.1000    1.8862
    0.1000    1.2000    1.9270
    0.1000    1.3000    1.9586
    0.1000    1.4000    1.9805
    0.1000    1.5000    1.9925
    0.1000    1.6000    1.9946
    0.1000    1.7000    1.9867
    0.1000    1.8000    1.9689
    0.1000    1.9000    1.9413
    0.1000    2.0000    1.9043
    0.1000    2.1000    1.8582
    0.1000    2.2000    1.8035
    0.1000    2.3000    1.7407
    0.1000    2.4000    1.6705
    0.1000    2.5000    1.5935
    0.1000    2.6000    1.5105
    0.1000    2.7000    1.4224
    0.1000    2.8000    1.3300
    0.1000    2.9000    1.2343
    0.1000    3.0000    1.1361
    0.1000    3.1000    1.0366
    0.1000    3.2000    0.9366
    0.1000    3.3000    0.8373
    0.1000    3.4000    0.7395
    0.1000    3.5000    0.6442
    0.1000    3.6000    0.5525
    0.1000    3.7000    0.4652
    0.1000    3.8000    0.3831
    0.1000    3.9000    0.3072
    0.1000    4.0000    0.2382
    0.1000    4.1000    0.1767
    0.1000    4.2000    0.1234
    0.1000    4.3000    0.0788
    0.1000    4.4000    0.0434
    0.1000    4.5000    0.0175
    0.1000    4.6000    0.0013
    0.1000    4.7000   -0.0049
    0.1000    4.8000   -0.0012
    0.1000    4.9000    0.0126
